mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_SVM__alpha,param_SVM__n_iter,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.09940576553344727,0.0010000705718994141,0.7757218329051713,0.788634533655478,0.1,428,"{'SVM__alpha': 0.1, 'SVM__n_iter': 428}",9,0.7869648845926218,0.7895960403959604,0.7723663444466364,0.7813843615638436,0.769801736042612,0.7863963603639637,0.8292781832927819,0.7839484333879537,0.7201946472019465,0.8018474725656685,0.00665181000479579,1.1680077279964343e-07,0.03498077735997602,0.007141991327562247
0.09680557250976562,0.001400136947631836,0.8049660419288663,0.8132590567473865,0.03162277660168379,428,"{'SVM__alpha': 0.03162277660168379, 'SVM__n_iter': 428}",5,0.8052130597751036,0.8076161133886612,0.8032156243835077,0.8096721577842216,0.7924393371473664,0.821549095090491,0.8336374695863749,0.8125884477878742,0.7903487429034876,0.8148694696856845,0.0026383659279474677,0.0007999420166015625,0.015458369986141491,0.00482652122880017
0.1010056972503662,0.0010001182556152344,0.8050009996986657,0.8190522274303182,0.01,428,"{'SVM__alpha': 0.01, 'SVM__n_iter': 428}",4,0.8079502860524759,0.8171995300469953,0.8293302426514106,0.818802494750525,0.7889623199842178,0.8167464503549645,0.8122465531224655,0.8262342345697402,0.7864963503649636,0.816278427429366,0.006782696137833466,1.784161275279017e-07,0.015830043163518343,0.0036901667963046376
0.09880566596984863,0.0010000705718994141,0.8167344256662925,0.8224691008790277,0.0031622776601683794,428,"{'SVM__alpha': 0.0031622776601683794, 'SVM__n_iter': 428}",2,0.8205513908068652,0.821536596340366,0.8501430262379168,0.814687281271873,0.8205513908068652,0.8229083341665834,0.7937956204379563,0.827623020010924,0.7985604217356044,0.8255902726053925,0.004956078602246167,1.1680077279964343e-07,0.02000830240285498,0.004425467260242829
0.09460549354553223,0.0014000415802001953,0.8235610314085583,0.8270146667306058,0.001,428,"{'SVM__alpha': 0.001, 'SVM__n_iter': 428}",1,0.8431889919116196,0.8162777472252775,0.8475784178338923,0.8194743025697431,0.8441014006707437,0.8256393110688932,0.8001824817518248,0.8480715278812254,0.7826439578264398,0.8256104449078902,0.006916907756402642,0.0004899403160383116,0.026845594256146375,0.01113007974618684
0.09040517807006836,0.0012000560760498046,0.8108746549301697,0.8368525434871479,0.00031622776601683794,428,"{'SVM__alpha': 0.00031622776601683794, 'SVM__n_iter': 428}",3,0.8459262181889918,0.8270016748325169,0.8404517656342474,0.8199211328867113,0.7982590254488064,0.8425251224877512,0.7842660178426601,0.8549347658771537,0.7853811841038119,0.8398800213516063,0.007864202716302941,0.000400018706226792,0.02690971089309449,0.012263953844261374
0.08800511360168457,0.0010000228881835937,0.7996100837746881,0.8286510379574288,0.0001,428,"{'SVM__alpha': 0.0001, 'SVM__n_iter': 428}",6,0.8101203393174196,0.8180838166183383,0.8324127046754783,0.8274516298370164,0.7794436772538963,0.8155778172182783,0.8045417680454178,0.8558471746362779,0.771492295214923,0.8262947514772332,0.005550068479647594,1.1680077279964342e-07,0.021946966041225854,0.014347095757640925
0.0964055061340332,0.0012000083923339843,0.799599406998939,0.7967085519339223,3.1622776601683795e-05,428,"{'SVM__alpha': 3.1622776601683795e-05, 'SVM__n_iter': 428}",7,0.7805287038863681,0.7883930356964305,0.849748471098836,0.8153372162783722,0.7956944170447819,0.8002762223777623,0.8059610705596107,0.7884158225333929,0.7660178426601786,0.7911204627836536,0.007392249640574416,0.00040004254453151935,0.02850558760244561,0.010284933827806318
0.09720559120178222,0.0007999897003173828,0.7796321106285996,0.769867549809645,1e-05,428,"{'SVM__alpha': 1e-05, 'SVM__n_iter': 428}",8,0.7688400078911027,0.7879337066293371,0.8561353324127047,0.7899960003999601,0.7409005721049516,0.7984420307969203,0.7621654501216546,0.7434796911465316,0.77007299270073,0.7294863200754754,0.010458152260327048,0.0003999948608169695,0.039674952551570115,0.027838837291671706
0.09280533790588379,0.0012000560760498046,0.7628890121208158,0.7550104130743389,3.162277660168379e-06,428,"{'SVM__alpha': 3.162277660168379e-06, 'SVM__n_iter': 428}",11,0.779616295127244,0.7941018398160186,0.8334977313079502,0.7815562193780622,0.7337739199053068,0.7310831416858314,0.7391524736415247,0.7214142956452654,0.7283049472830495,0.7468965688465167,0.01396367263993304,0.000400018706226792,0.039686117298056926,0.028283802317141348
0.0816047191619873,0.0009999752044677734,0.7550496274909498,0.738565577966013,1e-06,428,"{'SVM__alpha': 1e-06, 'SVM__n_iter': 428}",12,0.788567764845137,0.8002699730026998,0.8128575655947919,0.7525497450254975,0.7193479976326691,0.7080260723927608,0.7345904298459044,0.7263921992154526,0.7197891321978914,0.7055899001936541,0.00567844936287596,0.000632409699322999,0.038480989087943784,0.035131857823351174
0.0834047794342041,0.0010001182556152344,0.7429495259860273,0.7533342754159957,3.162277660168379e-07,428,"{'SVM__alpha': 3.162277660168379e-07, 'SVM__n_iter': 428}",17,0.7759666600907476,0.795929782021798,0.7443775892681002,0.7349671282871714,0.7533290589859932,0.7906896810318969,0.7282035685320357,0.7195693058245196,0.7127939983779401,0.7255154799145935,0.0020591898344122345,1.784161275279017e-07,0.021570205600858837,0.03304879471341569
0.0806046485900879,0.0012000560760498046,0.7492000395305045,0.7438482937420543,1e-07,428,"{'SVM__alpha': 1e-07, 'SVM__n_iter': 428}",15,0.7723170250542513,0.7767598240175984,0.8261984612349577,0.7941174632536747,0.7166107713552969,0.7091697080291971,0.7282035685320357,0.7191131014449575,0.7025547445255476,0.7200813719648443,0.004673591860481692,0.000748366450713617,0.04504289312542082,0.034610573078897255
0.07780451774597168,0.0008000373840332031,0.7486697637302832,0.7346189870808839,3.162277660168379e-08,428,"{'SVM__alpha': 3.162277660168379e-08, 'SVM__n_iter': 428}",16,0.7956944170447819,0.8021010398960104,0.8198115999210891,0.7724290070992902,0.7129611363188006,0.6920495450454957,0.7282035685320357,0.719777235711803,0.6865369018653691,0.6867381076518199,0.005706455505874126,0.000400018706226792,0.05065253997689564,0.04540581165388915
0.07920455932617188,0.0009999275207519531,0.7671776695274577,0.7601032583816448,1e-08,428,"{'SVM__alpha': 1e-08, 'SVM__n_iter': 428}",10,0.7876553560860129,0.784059094090591,0.8134247386072205,0.7767691980801921,0.7604557111856382,0.800057494250575,0.7291159772911598,0.7179725904960524,0.7451338199513382,0.7216579149908139,0.0027857633279959665,0.0,0.030125508003356165,0.03376688963865265
0.07860445976257324,0.0014001846313476563,0.749358021128475,0.7514300270653207,3.1622776601683795e-09,428,"{'SVM__alpha': 3.1622776601683795e-09, 'SVM__n_iter': 428}",14,0.7787038863681198,0.7902178532146786,0.7650177549812587,0.7317799470052996,0.7595433024265141,0.8016542095790421,0.7263787510137876,0.720233440091365,0.7170519059205193,0.7132646854362182,0.006917042878712597,0.0004899208473093904,0.02358429071364319,0.03699435079419379
